TOWN_ID,TOWN,VMT_SOV_AM,VMT_SOV_MD,VMT_SOV_PM,VMT_SOV_NT,VMT_HOV_AM,VMT_HOV_MD,VMT_HOV_PM,VMT_HOV_NT,VMT_TRK_AM,VMT_TRK_MD,VMT_TRK_PM,VMT_TRK_NT,VMT_TOTAL,VHT_SOV_AM,VHT_SOV_MD,VHT_SOV_PM,VHT_SOV_NT,VHT_HOV_AM,VHT_HOV_MD,VHT_HOV_PM,VHT_HOV_NT,VHT_TRK_AM,VHT_TRK_MD,VHT_TRK_PM,VHT_TRK_NT,VHT_TOTAL,VOC_SOV_AM,VOC_SOV_MD,VOC_SOV_PM,VOC_SOV_NT,VOC_HOV_AM,VOC_HOV_MD,VOC_HOV_PM,VOC_HOV_NT,VOC_TRK_AM,VOC_TRK_MD,VOC_TRK_PM,VOC_TRK_NT,VOC_TOTAL,NOX_SOV_AM,NOX_SOV_MD,NOX_SOV_PM,NOX_SOV_NT,NOX_HOV_AM,NOX_HOV_MD,NOX_HOV_PM,NOX_HOV_NT,NOX_TRK_AM,NOX_TRK_MD,NOX_TRK_PM,NOX_TRK_NT,NOX_TOTAL,CO_SOV_AM,CO_SOV_MD,CO_SOV_PM,CO_SOV_NT,CO_HOV_AM,CO_HOV_MD,CO_HOV_PM,CO_HOV_NT,CO_TRK_AM,CO_TRK_MD,CO_TRK_PM,CO_TRK_NT,CO_TOTAL,CO2_SOV_AM,CO2_SOV_MD,CO2_SOV_PM,CO2_SOV_NT,CO2_HOV_AM,CO2_HOV_MD,CO2_HOV_PM,CO2_HOV_NT,CO2_TRK_AM,CO2_TRK_MD,CO2_TRK_PM,CO2_TRK_NT,CO2_TOTAL
2,ACTON,74826.98148,168574.4667,100619.3249,128068.9673,17112.03739,54820.58844,32240.76728,40954.25693,12572.26457,34776.15496,18477.75874,16783.64589,699827.2147,2253.189745,5961.262534,3760.597522,3571.824813,522.698892,1942.523435,1201.475585,1146.883391,363.304904,1129.824932,628.056333,441.900932,22923.54302,6.248692,15.922658,10.0226,10.282945,1.439007,5.184916,3.212525,3.296735,2.971502,9.108836,5.101936,3.661117,76.453469,28.422898,65.118622,38.936116,48.267171,6.492559,21.184538,12.4913,15.43839,25.179959,72.257947,39.032508,32.460123,405.28213,187.208426,564.904973,382.286311,328.165989,42.436549,183.562139,122.522474,104.576191,46.547965,164.440912,96.96941,62.892451,2286.513792,29627.21026,75276.99445,47542.36344,49746.21772,6807.989467,24505.7946,15241.41097,15940.39534,8099.452942,24825.26908,13877.43588,10518.4813,322009.0154
10,ARLINGTON,72091.28624,104942.7543,69883.51561,80523.47397,13190.86289,33764.30382,14688.15392,25139.43406,11084.90077,31281.58981,15696.37773,14772.4275,487059.0806,2347.564294,3327.051536,2326.572453,2303.472913,416.949992,1076.181989,484.278086,724.528709,367.35971,1014.491883,516.58631,428.544231,15333.58211,6.224514,9.266719,6.48239,6.513057,1.130211,2.989359,1.35354,2.037997,2.878471,8.14578,4.201946,3.479019,54.703004,27.291694,39.568228,26.551939,30.002742,5.027078,12.708561,5.546013,9.330707,23.251962,64.872553,32.886587,29.442479,306.480546,182.259184,338.435608,259.149892,204.917061,33.272713,108.231023,53.924644,63.355172,42.322503,145.20209,81.353393,55.515792,1567.939076,29332.34638,44605.8755,31259.98846,31401.26223,5344.109838,14381.62208,6530.186183,9819.546902,7494.307581,22221.61687,11620.95572,9542.753882,223554.5716
14,ASHLAND,49803.63466,132992.9624,73738.45982,91539.97119,11105.86247,45300.41282,22403.69315,30594.64399,7119.719765,19234.18797,10813.59583,9039.08106,503686.2252,1731.693052,6102.946009,3406.796771,2973.756366,390.889903,2081.660808,1043.9536,992.426525,236.217271,840.200184,520.909366,273.650396,20595.10025,4.464611,14.614725,8.320986,8.014101,1.001236,4.9825,2.542015,2.676991,1.850796,6.213797,3.893017,2.203806,60.778579,19.024668,53.786934,29.797001,35.149972,4.232855,18.319662,9.060701,11.747709,14.943712,44.631813,26.356307,18.648182,285.699516,125.76775,482.792935,303.220917,239.020161,27.931715,164.457519,92.366962,79.864407,27.365151,100.73501,64.400453,35.483167,1743.406146,20680.01072,67229.88439,38685.38322,37565.00546,4626.854265,22915.22651,11807.69222,12549.68301,4817.192907,15578.25653,9587.268722,6043.796937,252086.2549
23,BEDFORD,86105.60447,137113.1446,89938.52946,103311.149,13562.98892,36663.26486,19839.56493,27889.02296,15747.48335,46720.93787,18073.2477,23369.31065,618334.2487,2670.602685,4192.472163,2893.890559,2570.030363,417.122847,1157.911164,641.192595,724.819147,465.978219,1305.424726,574.277743,538.766545,18152.48876,7.350432,12.177861,8.332603,8.082094,1.153006,3.30363,1.850586,2.208296,3.76342,10.905637,4.71595,4.623403,68.466919,33.283624,53.498843,34.828328,40.495855,5.241776,14.283177,7.710937,10.820384,31.884168,93.34658,37.330504,44.950249,407.674425,223.402878,464.274305,342.998163,271.376712,34.972875,123.513982,75.750326,72.3868,59.455041,218.110314,93.874939,86.465395,2066.58173,34741.27075,58527.71053,40149.4277,39642.75047,5454.442255,15817.81148,8902.406003,10768.64522,10251.25693,31723.96742,13195.17443,14398.6145,283573.4777
25,BELLINGHAM,92869.54826,206540.6303,122954.696,159543.1467,17141.79934,66486.96428,33988.27849,50535.28358,19892.60807,59234.30522,29581.10996,29542.07014,888310.4403,2743.289204,8454.15201,4702.354589,4451.550873,526.024375,2856.085202,1380.051991,1449.460359,589.025119,2206.372527,1187.899546,755.051308,31301.3171,7.839592,21.521556,12.648899,13.168073,1.463954,7.096897,3.60389,4.19893,4.701053,16.873827,9.191358,6.32077,108.6288,37.035483,84.716849,49.784535,62.668292,6.776089,27.183906,13.761807,19.692934,40.942448,131.725937,67.628685,57.896083,599.813048,238.739105,749.603615,495.664882,418.501246,43.669818,241.772409,137.648868,131.250712,74.692888,295.169412,167.623483,109.700526,3104.036965,37410.96901,100671.2577,60140.08081,63476.22382,6950.673674,33002.05073,17028.0171,20189.11399,13101.74551,45263.22989,24237.10636,18649.65698,440120.1256
26,BELMONT,46154.20858,65943.22408,39881.0848,49304.18471,7307.437389,21485.26955,9291.351102,15870.26653,7916.164852,23017.53533,11204.78298,11255.97616,308631.4861,1832.352326,2438.55322,1484.851017,1483.35834,286.673081,799.027718,345.109842,479.654015,316.659916,890.218172,413.655353,348.252278,11118.36528,4.247633,6.221199,3.915072,4.13254,0.677541,2.0362,0.904216,1.331364,2.185021,6.546471,3.135796,2.800365,38.133416,17.988145,25.474462,15.449678,18.446695,2.843792,8.296816,3.608952,5.940757,17.162816,50.038191,24.049136,22.930506,212.229945,121.577111,220.608638,150.518166,126.464271,19.050592,71.762118,35.234352,40.81136,31.275483,111.519734,59.537345,43.227196,1031.586366,19622.3169,29381.72055,18593.99808,19604.30934,3122.988073,9606.246673,4304.784757,6314.104301,5543.004101,17223.07552,8530.370025,7450.040195,149296.9585
30,BEVERLY,80738.67516,237863.8333,123266.2376,200160.6681,15600.31083,79206.6136,32844.75634,66463.314,16589.69174,47756.14897,20513.56995,21068.32401,942072.1437,2242.931515,12208.45587,4984.419832,5302.798963,428.526612,4049.821695,1324.11444,1730.794505,440.919351,2333.089028,809.557135,541.824897,36397.25384,6.485557,26.285959,12.440129,15.9479,1.243126,8.720104,3.31181,5.266962,3.635507,15.703704,6.219802,4.48589,109.74645,30.961918,92.595588,46.510315,77.470282,5.970104,30.75661,12.383214,25.809278,32.53449,111.456228,45.421675,40.770169,552.63987,204.926266,839.68416,460.550922,538.566714,39.726629,279.128925,122.700199,179.794269,61.075841,240.364599,109.223781,80.161352,3155.903656,31280.68218,121287.4016,59175.65167,77706.66223,6005.362252,40274.25125,15758.43763,25722.67963,10412.62445,38792.80992,16237.43162,13192.35888,455846.3533
34,BOLTON,102311.3876,152064.86,122366.7953,114245.7498,16707.99742,38352.92392,30764.31996,28907.99178,16227.87831,46868.40324,24356.77675,21873.59428,715048.6784,2417.458021,3814.265942,4017.886577,2487.047724,453.143785,1084.490302,1206.804978,681.111994,407.510811,1154.585092,644.112062,451.52604,18819.94333,7.981993,13.135935,11.685299,8.846648,1.357466,3.409662,3.18703,2.258175,3.36996,10.09072,5.502301,4.076933,74.902121,41.933091,64.374178,49.774187,47.244276,6.680949,15.776877,12.45549,11.633104,32.314498,96.024732,48.956211,42.294855,469.462447,270.717889,547.636534,492.354267,316.976345,43.13959,134.079876,124.279531,77.407028,59.59306,227.558887,126.724346,83.186677,2503.654031,39361.02757,63878.85257,56543.47011,43774.69724,6574.070088,16428.3947,15151.45011,11122.60863,10242.56305,32036.54568,17037.57775,13435.1492,325586.4067
35,BOSTON,800770.3072,890131.12,697083.8554,667360.0805,188126.9472,334212.6549,195902.8189,233725.3369,230432.7656,666016.3446,284724.1461,306956.3224,5495442.7,29429.07144,29514.36907,23629.674,19610.89338,7121.147086,11645.79322,6952.597162,7192.810017,9113.538656,24967.76293,12135.65599,10556.39742,191869.7104,73.91032,81.675308,66.21525,56.1883,17.795696,31.625392,19.15759,20.085484,69.049903,195.482128,93.440566,82.285357,806.911294,307.599874,344.070364,269.609671,260.905889,73.235949,130.278944,76.595592,91.275692,520.245329,1474.764156,660.381236,660.034805,4868.997501,2113.922358,3055.482916,2697.435109,1847.063035,506.780197,1160.263659,771.257567,650.083576,949.314594,3342.318749,1613.02102,1272.193733,19979.13651,343245.9935,390543.9533,318874.767,270033.2606,82244.22673,150316.353,91806.5027,95911.41018,169116.5203,509783.1728,237869.3881,215902.0505,2875647.599
37,BOXBOROUGH,67497.303,99174.37629,78528.93499,66550.29032,10646.34924,23338.61326,18842.3703,15813.38011,9118.179355,26602.82127,16015.34787,11207.99277,443335.9588,1377.915478,2267.778042,2024.245167,1342.848065,260.114536,608.539971,574.8588,351.254938,182.217485,520.814374,372.195405,204.453988,10087.23625,5.070496,8.407122,6.778195,5.20278,0.849731,2.042256,1.731804,1.256948,1.643345,4.954461,3.305139,1.956173,43.198448,28.155335,42.949601,32.011825,28.724105,4.37422,9.857615,7.600761,6.672924,17.518131,52.820454,31.125343,21.832961,283.643275,181.316987,366.207585,310.313338,196.057222,28.136991,84.085801,73.820962,45.35699,32.726125,128.58775,81.815392,44.075812,1572.500955,25397.3139,41068.02035,33526.42592,25676.87299,4154.055594,9871.007196,8422.135799,6156.785808,5503.114089,17386.71386,10748.26588,6879.029951,194789.7413
