TOWN,TOWN_ID,VMT_TOTAL,VHT_TOTAL,VOC_TOTAL,NOX_TOTAL,CO_TOTAL,CO2_TOTAL
Acton,2,505690,15100,10,20,480,118960
Arlington,10,531950,21990,10,20,530,143640
Ashland,14,240310,8190,0,10,200,59050
Bedford,23,542240,17440,10,30,540,135760
Bellingham,25,665710,17510,10,30,670,155660
Belmont,26,385000,16960,10,20,390,107420
Beverly,30,567790,16700,10,30,540,136340
Bolton,34,815030,19540,20,50,860,193140
Boston,35,9750350,716360,320,490,10900,3630150
Boxborough,37,537090,11410,10,30,600,126000
Braintree,40,1184420,53820,30,50,1130,339880
Brookline,46,894830,59360,30,40,980,312300
Burlington,48,1297800,40470,30,60,1250,321550
Cambridge,49,1439960,116530,50,70,1680,577680
Canton,50,1307930,46370,30,70,1350,344390
Carlisle,51,142890,4900,0,10,120,33850
Chelsea,57,392630,21710,10,20,420,126070
Cohasset,65,108380,3390,0,0,90,26080
Concord,67,661150,27590,10,30,610,174030
Danvers,71,1008430,27760,20,50,980,237510
Dedham,73,1105760,35340,20,50,1090,270920
Dover,78,225300,8480,0,10,200,56240
Essex,92,110110,2900,0,10,110,25360
Everett,93,339270,19860,10,20,350,112260
Foxborough,99,1196310,29620,20,60,1230,273810
Framingham,100,2185850,73900,50,100,2120,547560
Franklin,101,684350,19380,10,30,680,163560
Gloucester,107,432410,11810,10,20,440,101720
Hamilton,119,92750,2630,0,0,80,20900
Hingham,131,589270,22060,10,20,520,152650
Holbrook,133,193770,7290,0,10,170,49960
Holliston,136,266170,8970,10,10,230,64580
Hopkinton,139,1553500,41720,30,80,1630,370500
Hudson,141,371730,11170,10,20,340,90200
Hull,142,89900,3270,0,0,80,23350
Ipswich,144,202280,6050,0,10,160,47640
Lexington,155,1902530,57720,40,80,1810,456360
Lincoln,157,464750,18390,10,20,430,120110
Littleton,158,877110,23080,20,40,860,205600
Lynn,163,722190,30530,20,30,700,199070
Lynnfield,164,836240,26790,20,40,770,205450
Malden,165,482410,28610,10,20,510,157250
Manchester-By-The-Sea,166,158990,3810,0,10,170,36460
Marblehead,168,99330,3390,0,0,80,24940
Marlborough,170,1231100,35530,20,60,1230,301540
Marshfield,171,300980,9160,10,10,260,70890
Maynard,174,97210,2970,0,0,80,22990
Medfield,175,234160,8030,0,10,200,56890
Medford,176,1257320,72040,30,60,1310,398800
Medway,177,272000,7190,10,10,260,62370
Melrose,178,204320,9020,0,10,190,56980
Middleton,184,448690,11790,10,20,460,103190
Milford,185,695460,20780,10,40,710,171400
Millis,187,184360,5950,0,10,150,43630
Milton,189,1044390,42340,20,40,980,278180
Nahant,196,36780,1100,0,0,30,8580
Natick,198,1257250,45930,30,50,1180,322760
Needham,199,1046550,33720,20,50,1020,257710
Newton,207,2444990,107020,60,100,2420,685710
Norfolk,208,201090,6470,0,10,170,47080
North Reading,213,189800,6180,0,10,160,45410
Norwell,219,507070,14090,10,20,480,117560
Norwood,220,542270,18570,10,30,510,139790
Peabody,229,1277990,41420,30,60,1240,318740
Quincy,243,1786830,72180,40,80,1650,481510
Randolph,244,748920,27030,20,30,740,191010
Reading,246,763270,26000,20,30,720,195310
Revere,248,867050,40430,20,40,880,250360
Rockland,251,348810,12440,10,10,310,88300
Rockport,252,55680,1830,0,0,50,13950
Salem,258,459030,17510,10,20,420,122310
Saugus,262,759540,26410,20,30,740,192780
Scituate,264,188520,6160,0,10,160,45130
Sharon,266,994340,27700,20,50,1000,235300
Sherborn,269,246300,9080,10,10,220,61640
Somerville,274,926090,72530,30,50,1060,346730
Southborough,277,944050,26930,20,50,930,224820
Stoneham,284,881080,31420,20,40,830,226720
Stow,286,210600,7060,0,10,180,50650
Sudbury,288,466220,16640,10,20,400,115440
Swampscott,291,132510,3880,0,10,110,31050
Topsfield,298,190790,5320,0,10,160,42840
Wakefield,305,583520,20150,10,30,560,149910
Walpole,307,541210,16930,10,20,490,129140
Waltham,308,1335740,53730,30,60,1300,367300
Watertown,314,368430,18300,10,20,360,110870
Wayland,315,372240,13530,10,10,330,93290
Wellesley,317,713180,26090,20,30,680,185730
Wenham,320,184450,5350,0,10,170,42850
Weston,333,1516890,55390,30,60,1460,384380
Westwood,335,659170,23720,10,30,640,167950
Weymouth,336,981250,38360,20,40,930,262750
Wilmington,342,1273600,34540,20,60,1300,301750
Winchester,344,320510,12500,10,10,290,83030
Winthrop,346,65920,4990,0,0,70,25430
Woburn,347,1383360,42770,30,70,1340,339950
Wrentham,350,810570,18780,20,40,860,184570
